Sample_ID,EB_Source_type,GPT_Source_type,Prompt
SAMN02352711,Plant,Plant,"Given the ncbi biosample information. SampleID:SAMN02352711,collected_by:FDA,isolation_source:blue poppy seed,ontologicalterm:blue:PATO_0000318, poppy plant:FOODON_03411515,seed:PO_0009010,source_type:food. Assign the record to one of the following hostcategories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN27768017,Bovine,Animal,"Given the ncbi biosample information. Sample ID:SAMN27768017,collected_by:USDA-FSIS,isolation_source:Animal-Calf-Non Formula-fed Veal (cecal). Assign therecord to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN10359333,Avian,Avian,"Given the ncbi biosample information. Sample ID:SAMN10359333,collected_by:OhioDepartment of Agriculture | Animal Disease DiagnosticLaboratory,isolation_source:meleagris gallopavopoult,attribute_package:environmental/food/other,ontological term:meleagrisgallopavo:NCBITAXON_9103, poult:FOODON_00002962,IFSAC+Category:turkey,source_type:animal. Assign the record to one of the followinghost categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN31142663,Water/River,Not determined,"Given the ncbi biosample information. SampleID:SAMN31142663,collected_by:UNAB,isolation_source:irrigationcanal,attribute_package:environmental/food/other,ontological term:irrigationcanal:ENVO_00000036,IFSAC+ Category:environmental-water| environmental-factory/production facility,source_type:environmental. Assign the record to oneof the following host categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN24442301,Bovine,Meat,"Given the ncbi biosample information. Sample ID:SAMN24442301,collected_by:USDA-FSIS,isolation_source:comminuted beef. Assign the record to one of the followinghost categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN06481922,Human,Human,"Given the ncbi biosample information. SampleID:SAMN06481922,collected_by:CDC,isolation_source:stool,host_age:50-59. Assignthe record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN25002870,Plant,Food,"Given the ncbi biosample information. SampleID:SAMN25002870,collected_by:FDA,isolation_source:sesameseeds,attribute_package:environmental/food/other,ontological term:sesameseed:FOODON_03310306,IFSAC+ Category:grains,source_type:food. Assign the recordto one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN14861190,Human,Human,"Given the ncbi biosample information. Sample ID:SAMN14861190,collected_by:Centrefor Infectious Diseases and Microbiology - PublicHealth,isolation_source:feces,host:Homosapiens,host_disease:salmonellosis,host_description:Foodbourne outbreak. Assignthe record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN13414191,Human,Human,"Given the ncbi biosample information. SampleID:SAMN13414191,collected_by:PHE,isolation_source:human,host:Homo sapiens.Assign the record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN12238825,ND/Others,Food,"Given the ncbi biosample information. SampleID:SAMN12238825,collected_by:PHE,isolation_source:food. Assign the record to oneof the following host categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
