Accesion	EB Source Niche	EB Source Type	Predicted Source Type	Perc	Passed	Prompt String
SAMN02595903	Wild Animal	Deer (Cervidae)	Ovine/Goat (Caprinae)	0.143	NO	moose feces,moose:FOODON_03411257, feces:UBERON_0001988,veterinary clinical/research| other animal,animal
SAMN34069802	Poultry	Poultry	Poultry	0.126	YES	chicken - young chicken carcass rinse (post-chill)
SAMN08482362	Animal Feed	Dairy	Dairy	0.177	YES	dairy feed,environmental/food/other,dairy:envo_00003862, food product for animal:foodon_03309997,animal feed,Animal feed
SAMN02900186	Environment	Water/River	Water/River	0.249	YES	sediment stream,stream sediment:ENVO_00002127,environmental-water,environmental
SAMN16564868	Laboratory	Laboratory	Water/River	0.249	NO	water filtration membrane,environmental/food/other,water:CHEBI_15377,environmental-water,environmental
SAMN06213768	Food	Avian	Poultry	0.212	NO	boneless chicken meat,environmental/food/other,chicken boneless:FOODON_00002702|skeletal meat part|without bone or shell:FOODON_03420125,chicken,food
SAMN03569138	Wild Animal	Invertebrate	Invertebrate	0.189	YES	Perdicinae
SAMN12587253	Poultry	Poultry	Poultry	0.126	YES	Chicken Whole - cut in lab
SAMN08114332	Poultry	Poultry	Poultry	0.128	YES	animal-chicken-young chicken
SAMN08114335	Livestock	Swine	Ovine/Goat (Caprinae)	0.101	NO	animal-swine-sow
SAMN30813996	Environment	Water/River	Water/River	0.249	YES	Irrigation Canal,environmental/food/other,irrigation canal:ENVO_00000036,environmental-water| environmental-factory/production facility,environmental
SAMN12041584	Aquatic Animal	Fish	Invertebrate	0.115	NO	Product-Raw-Intact-Siluriformes
SAMN20219147	Wild Animal	Deer (Cervidae)	Ovine/Goat (Caprinae)	0.1	NO	Feces (Odocoileus virginianus)
SAMN11809026	Livestock	Equine	Ovine/Goat (Caprinae)	0.143	NO	fecal swab horse,environmental/food/other,feces:UBERON_0001988, swab:NCIT_C17627, horse:FOODON_03411229,veterinary clinical/research| other animal,animal
SAMN06333679	Wild Animal	Bovine/Antelope	Ovine/Goat (Caprinae)	0.143	NO	antelope intestine (Antilocapra americana),environmental/food/other,antelope:FOODON_03411481, intestine:UBERON_0000160,veterinary clinical/research| other animal,animal
SAMN06333452	Wild Animal	Camelid	Ovine/Goat (Caprinae)	0.143	NO	intestine camel,environmental/food/other,camel:FOODON_03412103, intestine:UBERON_0000160,veterinary clinical/research| other animal,animal
SAMN19958347	Wild Animal	Other Mammal	Ovine/Goat (Caprinae)	0.101	NO	wildlife
SAMN19958293	Wild Animal	Deer (Cervidae)	Ovine/Goat (Caprinae)	0.101	NO	wildlife
SAMN19958256	Wild Animal	Deer (Cervidae)	Ovine/Goat (Caprinae)	0.101	NO	wildlife
SAMN09225653	Human	Human	Human	0.161	YES	human,Homo sapiens
SAMN07341698	Laboratory	Laboratory	Ovine/Goat (Caprinae)	0.072	NO	Isolated Organism
SAMN10124303	Food	Dairy	Dairy	0.126	YES	Cheese Sauce
SAMN15940068	Livestock	Swine	Invertebrate	0.085	NO	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork
SAMN07709892	Wild Animal	Camelid	Ovine/Goat (Caprinae)	0.143	NO	lung (Lama glama),environmental/food/other,lama glama:NCBITAXON_9844, lung:UBERON_0002048,veterinary clinical/research| other animal,animal
SAMN09305139	Human	Human	Human	0.162	YES	stool,70-79
SAMN11102910	Wild Animal	Deer (Cervidae)	Ovine/Goat (Caprinae)	0.143	NO	Odocoileus virginianus Feces,environmental/food/other,feces:UBERON_0001988, odocoileus virginianus:NCBITAXON_9874,veterinary clinical/research| other animal,animal
SAMN10910210	Livestock	Bovine	Ovine/Goat (Caprinae)	0.128	NO	Bovine lymph node,bovine
